2023-02-09 17:50:57,274 INFO    HandlerThread:79210 [system_monitor.py:probe():187] Finished publishing system info
2023-02-09 17:50:57,292 DEBUG   SenderThread:79210 [sender.py:send():334] send: files
2023-02-09 17:50:57,292 INFO    SenderThread:79210 [sender.py:_save_file():1319] saving file wandb-metadata.json with policy now
2023-02-09 17:50:57,308 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: stop_status
2023-02-09 17:50:57,321 DEBUG   SenderThread:79210 [sender.py:send_request():361] send_request: stop_status
2023-02-09 17:50:57,636 DEBUG   SenderThread:79210 [sender.py:send():334] send: telemetry
2023-02-09 17:50:57,637 DEBUG   SenderThread:79210 [sender.py:send():334] send: config
2023-02-09 17:50:58,130 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_created():275] file/dir created: ./wandb/run-20230209_175054-cy95wocu/files/wandb-metadata.json
2023-02-09 17:50:58,131 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_created():275] file/dir created: ./wandb/run-20230209_175054-cy95wocu/files/output.log
2023-02-09 17:50:58,212 INFO    Thread-20 :79210 [upload_job.py:push():143] Uploaded file /tmp/tmp3x704cihwandb/lbot97c8-wandb-metadata.json
2023-02-09 17:50:59,646 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:00,133 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_modified():292] file/dir modified: ./wandb/run-20230209_175054-cy95wocu/files/output.log
2023-02-09 17:51:04,645 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:09,646 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:12,302 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:14,648 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:17,304 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:19,649 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:22,307 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:23,436 DEBUG   SenderThread:79210 [sender.py:send():334] send: telemetry
2023-02-09 17:51:24,159 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_modified():292] file/dir modified: ./wandb/run-20230209_175054-cy95wocu/files/output.log
2023-02-09 17:51:25,182 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:26,162 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_modified():292] file/dir modified: ./wandb/run-20230209_175054-cy95wocu/files/config.yaml
2023-02-09 17:51:26,163 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_modified():292] file/dir modified: ./wandb/run-20230209_175054-cy95wocu/files/output.log
2023-02-09 17:51:27,309 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:28,164 INFO    Thread-17 :79210 [dir_watcher.py:_on_file_modified():292] file/dir modified: ./wandb/run-20230209_175054-cy95wocu/files/output.log
2023-02-09 17:51:30,603 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:32,311 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:35,605 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:37,312 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:40,607 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:42,314 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:45,608 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:47,316 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:50,610 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:52,318 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
2023-02-09 17:51:55,536 DEBUG   SystemMonitor:79210 [system_monitor.py:_start():130] Starting system metrics aggregation loop
2023-02-09 17:51:55,542 DEBUG   SenderThread:79210 [sender.py:send():334] send: stats
2023-02-09 17:51:56,545 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: status_report
2023-02-09 17:51:57,320 DEBUG   HandlerThread:79210 [handler.py:handle_request():144] handle_request: keepalive
